2026-09-05T01:02:20Z m=[76000001,78000001) HUNT_DONE examined=5554 best=2 best_m=76299480 seconds=42.79 per_m_ms=7.705 | HUNT_HIST 0:5481 1:72 2:1 3:0 4:0 5:0 6:0 | 80s
2026-09-05T01:03:41Z m=[78000001,80000001) HUNT_DONE examined=5630 best=1 best_m=78015430 seconds=43.64 per_m_ms=7.751 | HUNT_HIST 0:5542 1:88 2:0 3:0 4:0 5:0 6:0 | 81s
2026-09-05T01:05:01Z m=[80000001,82000001) HUNT_DONE examined=5503 best=2 best_m=80301565 seconds=42.52 per_m_ms=7.727 | HUNT_HIST 0:5424 1:76 2:3 3:0 4:0 5:0 6:0 | 80s
2026-09-05T01:06:21Z m=[82000001,84000001) HUNT_DONE examined=5568 best=2 best_m=83561698 seconds=43.54 per_m_ms=7.820 | HUNT_HIST 0:5465 1:102 2:1 3:0 4:0 5:0 6:0 | 80s
2026-09-05T01:07:42Z m=[84000001,86000001) HUNT_DONE examined=5576 best=1 best_m=84018047 seconds=43.56 per_m_ms=7.811 | HUNT_HIST 0:5474 1:102 2:0 3:0 4:0 5:0 6:0 | 81s
2026-09-05T01:09:03Z m=[86000001,88000001) HUNT_DONE examined=5645 best=1 best_m=86001478 seconds=43.61 per_m_ms=7.725 | HUNT_HIST 0:5562 1:83 2:0 3:0 4:0 5:0 6:0 | 81s
2026-09-05T01:10:23Z m=[88000001,90000001) HUNT_DONE examined=5540 best=2 best_m=88169145 seconds=43.08 per_m_ms=7.776 | HUNT_HIST 0:5454 1:82 2:4 3:0 4:0 5:0 6:0 | 80s
2026-09-05T01:11:44Z m=[90000001,92000001) HUNT_DONE examined=5653 best=2 best_m=91625767 seconds=43.38 per_m_ms=7.673 | HUNT_HIST 0:5579 1:73 2:1 3:0 4:0 5:0 6:0 | 81s
2026-09-05T01:13:05Z m=[92000001,94000001) HUNT_DONE examined=5685 best=2 best_m=92176735 seconds=43.91 per_m_ms=7.723 | HUNT_HIST 0:5604 1:80 2:1 3:0 4:0 5:0 6:0 | 81s
2026-09-05T01:14:25Z m=[94000001,96000001) HUNT_DONE examined=5574 best=2 best_m=95192313 seconds=43.16 per_m_ms=7.744 | HUNT_HIST 0:5490 1:83 2:1 3:0 4:0 5:0 6:0 | 80s
2026-09-05T01:15:46Z m=[96000001,98000001) HUNT_DONE examined=5670 best=2 best_m=96333678 seconds=43.91 per_m_ms=7.744 | HUNT_HIST 0:5582 1:87 2:1 3:0 4:0 5:0 6:0 | 81s
2026-09-05T01:17:07Z m=[98000001,100000001) HUNT_DONE examined=5610 best=2 best_m=99663917 seconds=43.41 per_m_ms=7.739 | HUNT_HIST 0:5525 1:83 2:2 3:0 4:0 5:0 6:0 | 81s
2026-09-05T01:18:28Z m=[100000001,102000001) HUNT_DONE examined=5615 best=2 best_m=100096907 seconds=43.83 per_m_ms=7.806 | HUNT_HIST 0:5518 1:95 2:2 3:0 4:0 5:0 6:0 | 81s
2026-09-05T01:19:49Z m=[102000001,104000001) HUNT_DONE examined=5698 best=1 best_m=102004352 seconds=44.14 per_m_ms=7.747 | HUNT_HIST 0:5608 1:90 2:0 3:0 4:0 5:0 6:0 | 81s
2026-09-05T01:21:10Z m=[104000001,106000001) HUNT_DONE examined=5682 best=2 best_m=104454400 seconds=44.27 per_m_ms=7.791 | HUNT_HIST 0:5584 1:96 2:2 3:0 4:0 5:0 6:0 | 81s
2026-09-05T01:22:31Z m=[106000001,108000001) HUNT_DONE examined=5593 best=2 best_m=106279020 seconds=43.26 per_m_ms=7.734 | HUNT_HIST 0:5511 1:79 2:3 3:0 4:0 5:0 6:0 | 81s
2026-09-05T01:23:51Z m=[108000001,110000001) HUNT_DONE examined=5535 best=1 best_m=108003788 seconds=42.87 per_m_ms=7.746 | HUNT_HIST 0:5447 1:88 2:0 3:0 4:0 5:0 6:0 | 80s
2026-09-05T01:25:13Z m=[110000001,112000001) HUNT_DONE examined=5723 best=2 best_m=110423391 seconds=44.61 per_m_ms=7.795 | HUNT_HIST 0:5635 1:86 2:2 3:0 4:0 5:0 6:0 | 82s
2026-09-05T01:26:36Z m=[112000001,114000001) HUNT_DONE examined=5716 best=2 best_m=112709792 seconds=45.33 per_m_ms=7.930 | HUNT_HIST 0:5618 1:96 2:2 3:0 4:0 5:0 6:0 | 83s
